alignment,combat,durability,eye_color,gender,hair_color,height,id,image,intelligence,name,ocuppation,power,publisher,race,speed,strength,weight
good,14,14,-,Female,-,0 cm,440,https://www.superherodb.com/pictures2/portraits/10/100/944.jpg,50,Maya Herrera,-,60,NBC - Heroes,null,12,10,0 kg
good,56,70,Green,Female,Red,180 cm,441,https://www.superherodb.com/pictures2/portraits/10/100/96.jpg,75,Medusa,"Queen, Royal interpreter",37,Marvel Comics,Inhuman,35,34,59 kg
good,64,42,Blue,Female,Blond,165 cm,442,https://www.superherodb.com/pictures2/portraits/10/100/258.jpg,38,Meltdown,"Adventurer, former student, thief",62,Boom-Boom,null,12,10,54 kg
bad,42,95,White,Male,Black,198 cm,443,https://www.superherodb.com/pictures2/portraits/10/100/1322.jpg,88,Mephisto,Lord of a realm of Hell,100,Marvel Comics,null,35,85,140 kg
good,80,60,Blue,Female,Red,175 cm,444,https://www.superherodb.com/pictures2/portraits/10/100/1388.jpg,56,Mera,Former queen of Atlantis; Former queen of Dimension Aqua,92,DC Comics,Atlantean,79,62,72 kg
bad,64,95,Green,Male,Brown,196 cm,445,https://www.superherodb.com/pictures2/portraits/10/100/737.jpg,75,Metallo,Professional criminal,86,DC Comics,Android,23,53,90 kg
good,null,null,Black,Male,No Hair,185 cm,446,https://www.superherodb.com/pictures2/portraits/10/100/738.jpg,null,Metamorpho,"Adventurer, former Soldier of Fortune",null,DC Comics,null,null,82,90 kg
good,null,null,-,Female,-,0 cm,447,https://www.superherodb.com/pictures2/portraits/10/100/1333.jpg,null,Meteorite,-,null,Marvel Comics,null,null,null,0 kg
good,28,56,Blue,Male,Black,185 cm,448,https://www.superherodb.com/pictures2/portraits/10/100/841.jpg,88,Metron,"Scientist, seeker of knowledge",100,DC Comics,null,47,10,86 kg
good,14,14,Brown,Male,Black,0 cm,449,https://www.superherodb.com/pictures2/portraits/10/100/951.jpg,63,Micah Sanders,Elementary school student,57,NBC - Heroes,null,12,8,0 kg
good,75,65,Blue,Male,-,0 cm,450,https://www.superherodb.com/pictures2/portraits/10/100/10329.jpg,63,Michelangelo,-,59,IDW Publishing,Mutant,50,14,0 kg
good,32,28,Grey,Male,Brown,183 cm,451,https://www.superherodb.com/pictures2/portraits/10/100/1181.jpg,38,Micro Lad,-,44,DC Comics,null,27,28,77 kg
good,42,56,Brown,Male,Brown,188 cm,452,https://www.superherodb.com/pictures2/portraits/10/100/97.jpg,63,Mimic,-,79,Marvel Comics,null,47,67,101 kg
good,null,null,-,Female,-,0 cm,453,https://www.superherodb.com/pictures2/portraits/10/100/881.jpg,null,Minna Murray,-,null,Wildstorm,null,null,null,0 kg
good,42,80,Blue,Female,Red,0 cm,454,https://www.superherodb.com/pictures2/portraits/10/100/1114.jpg,63,Misfit,-,91,Batgirl V,null,23,32,0 kg
good,45,100,Red,Female,Red,178 cm,455,https://www.superherodb.com/pictures2/portraits/10/100/1394.jpg,63,Miss Martian,Adventurer,100,DC Comics,null,58,85,61 kg
good,64,70,Brown,Male,Brown,185 cm,456,https://www.superherodb.com/pictures2/portraits/10/100/408.jpg,100,Mister Fantastic,"Scientist, adventurer",33,Marvel Comics,Human / Radiation,18,10,81 kg
bad,28,70,-,Male,-,183 cm,457,https://www.superherodb.com/pictures2/portraits/10/100/742.jpg,75,Mister Freeze,-,37,DC Comics,Human,12,32,86 kg
bad,65,30,Blue,Male,Brown,0 cm,458,https://www.superherodb.com/pictures2/portraits/10/100/10633.jpg,75,Mister Knife,"Crimelord; former emperor, prince",13,Marvel Comics,Spartoi,17,10,0 kg
bad,50,100,-,Male,-,0 cm,459,https://www.superherodb.com/pictures2/portraits/10/100/744.jpg,100,Mister Mxyzptlk,-,100,DC Comics,God / Eternal,100,85,0 kg
bad,50,90,Red,Male,Black,196 cm,460,https://www.superherodb.com/pictures2/portraits/10/100/856.jpg,100,Mister Sinister,"Geneticist, Criminal, biologist and mutant-supremacist",100,Marvel Comics,Human / Altered,46,48,128 kg
bad,85,28,Blue,Male,Blond,0 cm,461,https://www.superherodb.com/pictures2/portraits/10/100/1486.jpg,88,Mister Zsasz,Serial Killer,18,DC Comics,Human,33,22,0 kg
good,95,20,Blue,Female,Blond,175 cm,462,https://www.superherodb.com/pictures2/portraits/10/100/1328.jpg,75,Mockingbird,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist",48,Marvel Comics,Human,38,31,61 kg
bad,15,25,White,Male,Brownn,366 cm,463,https://www.superherodb.com/pictures2/portraits/10/100/10438.jpg,100,MODOK,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",79,Marvel Comics,Cyborg,25,18,338 kg
good,null,null,-,Male,-,0 cm,464,https://www.superherodb.com/pictures2/portraits/10/100/1432.jpg,null,Mogo,Green Lantern,null,DC Comics,Planet,null,null,0 kg
good,null,null,-,Male,-,0 cm,465,https://www.superherodb.com/pictures2/portraits/10/100/1313.jpg,null,Mohinder Suresh,"Former agent of Pinehearst Company, former Company medical professional & agent, former taxi driver, former genetics professor",null,NBC - Heroes,null,null,null,0 kg
bad,null,null,-,Male,-,0 cm,466,https://www.superherodb.com/pictures2/portraits/10/100/1061.jpg,null,Moloch,-,null,DC Comics,null,null,null,0 kg
bad,56,84,Gold,Male,Gold,196 cm,467,https://www.superherodb.com/pictures2/portraits/10/100/411.jpg,50,Molten Man,"Security guard for Osborn industries, former criminal, lab assistant",53,Marvel Comics,null,23,73,248 kg
good,null,null,Blue,Male,White,193 cm,468,https://www.superherodb.com/pictures2/portraits/10/100/1006.jpg,null,Monarch,"Adventurer, former U.S. Special Agent, former U.S. Air Force Captain",null,DC Comics,null,null,100,90 kg
good,90,14,-,Female,-,0 cm,469,https://www.superherodb.com/pictures2/portraits/10/100/942.jpg,50,Monica Dawson,Fast food service,48,NBC - Heroes,null,35,10,0 kg
good,75,42,Brown,Male,Brown,188 cm,470,https://www.superherodb.com/pictures2/portraits/10/100/415.jpg,50,Moon Knight,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver",28,Marvel Comics,Human,23,36,101 kg
bad,80,52,Blue,Female,Blond,180 cm,471,https://www.superherodb.com/pictures2/portraits/10/100/100.jpg,56,Moonstone,"former Adventurer, Psychiatrist",74,Marvel Comics,null,47,67,59 kg
bad,56,42,White / Red,Male,Black,188 cm,472,https://www.superherodb.com/pictures2/portraits/10/100/1171.jpg,63,Morlun,-,74,Marvel Comics,null,35,60,79 kg
good,null,null,White,Male,No Hair,178 cm,473,https://www.superherodb.com/pictures2/portraits/10/100/102.jpg,null,Morph,"Adventurer, reality traveler",null,Marvel Comics,null,null,40,79 kg
bad,56,42,Brown,Male,Black,175 cm,474,https://www.superherodb.com/pictures2/portraits/10/100/1020.jpg,75,Moses Magnum,"Terrorist, president of Magnum Munitions; former ruler of Canaan",55,Marvel Comics,null,12,28,72 kg
good,30,100,Blue,Male,Blond,188 cm,475,https://www.superherodb.com/pictures2/portraits/10/100/10794.jpg,50,Mr Immortal,-,69,Marvel Comics,Mutant,8,10,70 kg
good,40,95,Blue,Male,Blond,201 cm,476,https://www.superherodb.com/pictures2/portraits/10/100/869.jpg,50,Mr Incredible,-,29,Dark Horse Comics,Human,33,83,158 kg
good,56,84,Blue,Female,Red,173 cm,477,https://www.superherodb.com/pictures2/portraits/10/100/897.jpg,38,Ms Marvel II,"Wanderer, former adventurer, wrestler, stunt woman, scuba diver, motorcycle performer",11,She-Thing,null,23,63,61 kg
good,62,70,Blue,Male,Brown,180 cm,478,https://www.superherodb.com/pictures2/portraits/10/100/104.jpg,63,Multiple Man,"Private investigator (formerly) Farmer, Adventurer",28,Marvel Comics,null,23,11,70 kg
bad,70,40,Brown,Male,No Hair,180 cm,479,https://www.superherodb.com/pictures2/portraits/10/100/1039.jpg,81,Mysterio,Criminal; former Hollywood special effects designer and stunt man,82,Marvel Comics,Human,17,10,79 kg
bad,74,64,Yellow (without irises),Female,Red / Orange,178 cm,480,https://www.superherodb.com/pictures2/portraits/10/100/817.jpg,75,Mystique,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team",64,Marvel Comics,Mutant,23,12,54 kg
good,85,70,Grey,Male,Black,188 cm,481,https://www.superherodb.com/pictures2/portraits/10/100/137.jpg,69,Namor,"King of Atlantis, Adventurer; former warrior, commando, CEO",73,Marvel Comics,Atlantean,58,95,125 kg
good,null,null,-,Male,-,0 cm,482,https://www.superherodb.com/pictures2/portraits/10/100/105.jpg,null,Namor,-,null,Marvel Comics,null,null,null,0 kg
good,64,42,Blue,Female,Blond,180 cm,483,https://www.superherodb.com/pictures2/portraits/10/100/1364.jpg,50,Namora,-,48,Marvel Comics,null,42,85,85 kg
good,70,70,Blue,Female,Blond,168 cm,484,https://www.superherodb.com/pictures2/portraits/10/100/106.jpg,50,Namorita,"Superhero, formerly Leader of Atlantis",37,Marvel Comics,null,47,72,101 kg
good,100,80,-,Male,-,168 cm,485,https://www.superherodb.com/pictures2/portraits/10/100/1540.jpg,50,Naruto Uzumaki,-,100,Shueisha,Human,32,80,54 kg
good,null,null,Brown,Male,-,0 cm,486,https://www.superherodb.com/pictures2/portraits/10/100/949.jpg,null,Nathan Petrelli,"formerly a U.S. Congressman, formerly a district attorney, formerly a Navy officer",null,NBC - Heroes,null,null,null,0 kg
bad,60,50,Blue,Female,No Hair,185 cm,487,https://www.superherodb.com/pictures2/portraits/10/100/10632.jpg,63,Nebula,-,42,Marvel Comics,Luphomoid,13,52,83 kg
good,35,10,Black,Female,Black,0 cm,488,https://www.superherodb.com/pictures2/portraits/10/100/10556.jpg,50,Negasonic Teenage Warhead,-,45,Marvel Comics,Mutant,8,7,0 kg
good,100,42,Brown,Male,Brown / White,185 cm,489,https://www.superherodb.com/pictures2/portraits/10/100/326.jpg,75,Nick Fury,"S.H.I.E.L.D. director; former S.H.I.E.L.D. agent, intelligence agent, soldier and commando leader, parachuting instructor, stunt flyer",25,Marvel Comics,Human,23,11,99 kg
good,80,14,Yellow,Male,Indigo,175 cm,490,https://www.superherodb.com/pictures2/portraits/10/100/107.jpg,50,Nightcrawler,"Adventurer, Teacher",76,Marvel Comics,null,47,10,88 kg
good,100,28,Blue,Male,Black,178 cm,491,https://www.superherodb.com/pictures2/portraits/10/100/851.jpg,88,Nightwing,"Vigilante and detective, former police officer, former Circus Acrobat",36,Batman II,Human,33,11,79 kg
good,56,28,Blue,Female,Blond,0 cm,492,https://www.superherodb.com/pictures2/portraits/10/100/952.jpg,63,Niki Sanders,Former casino worker and online webcam operator; currently an agent of the Company,37,NBC - Heroes,null,35,52,0 kg
good,20,10,-,Female,-,0 cm,493,https://www.superherodb.com/pictures2/portraits/10/100/1529.jpg,63,Nina Theroux,-,68,SyFy,Alpha,8,5,0 kg
good,null,null,-,Male,-,0 cm,494,https://www.superherodb.com/pictures2/portraits/10/100/1059.jpg,null,Nite Owl II,-,null,DC Comics,null,null,45,0 kg
good,70,56,Blue,Male,Black,180 cm,495,https://www.superherodb.com/pictures2/portraits/10/100/1287.jpg,50,Northstar,"Former terrorist, adventurer, teacher, businessman, novelist, professional skier, trapeze artist, thief",65,Marvel Comics,null,83,18,83 kg
good,80,100,Brown,Male,Brown,185 cm,496,https://www.superherodb.com/pictures2/portraits/10/100/109.jpg,100,Nova,"Superhero, also works parttime at Marvel Burger",100,Marvel Comics,Human,75,85,86 kg
good,35,100,White,Female,Red,163 cm,497,https://www.superherodb.com/pictures2/portraits/10/100/10313.jpg,63,Nova,-,100,Marvel Comics,Human / Cosmic,100,60,59 kg
good,90,95,Blue,Male,White,206 cm,498,https://www.superherodb.com/pictures2/portraits/10/100/10388.jpg,100,Odin,"Deity, Monarch of Asgard, Asgardian God of the Sky, Wind, Wisdom, Crafts, Time, and the Dead, Warrior",100,Marvel Comics,God / Eternal,67,83,293 kg
good,56,99,-,Male,-,0 cm,499,https://www.superherodb.com/pictures2/portraits/10/100/1298.jpg,50,Offspring,-,100,DC Comics,null,35,10,0 kg
bad,null,null,Red,Male,Blond,211 cm,500,https://www.superherodb.com/pictures2/portraits/10/100/208.jpg,null,Omega Red,"Crimelord; former mercenary, KGB agent",null,Marvel Comics,null,null,61,191 kg
good,null,null,Brown,Male,Black,180 cm,501,https://www.superherodb.com/pictures2/portraits/10/100/1003.jpg,null,Omniscient,"Superhero, Grade 9 physics teacher",null,Team Epic TV,null,null,null,65 kg
good,50,95,-,Male,No Hair,175 cm,502,https://www.superherodb.com/pictures2/portraits/10/100/10522.jpg,38,One Punch Man,"Superhero, Sensei",55,Shueisha,Human,83,100,69 kg
neutral,100,100,-,-,-,0 cm,503,https://www.superherodb.com/pictures2/portraits/10/100/10374.jpg,100,One-Above-All,-,100,Marvel Comics,Cosmic Entity,100,100,0 kg
bad,55,100,Red,Male,No Hair,305 cm,504,https://www.superherodb.com/pictures2/portraits/10/100/13.jpg,88,Onslaught,Would-be destroyer,100,Marvel Comics,Mutant,33,100,405 kg
good,76,28,Blue,Female,Red,178 cm,505,https://www.superherodb.com/pictures2/portraits/10/100/749.jpg,75,Oracle,Computer hacker and Coordinator of the Birds of Prey; Former student; former librarian; former vigilante,19,Batgirl,Human,23,11,59 kg
good,42,95,Brown,Male,Brown,0 cm,506,https://www.superherodb.com/pictures2/portraits/10/100/1165.jpg,75,Osiris,-,65,DC Comics,null,60,85,0 kg
bad,null,null,-,Male,-,0 cm,507,https://www.superherodb.com/pictures2/portraits/10/100/866.jpg,null,Overtkill,-,null,Image Comics,null,null,null,0 kg
bad,95,20,Blue,Male,Blond,0 cm,508,https://www.superherodb.com/pictures2/portraits/10/100/1063.jpg,100,Ozymandias,-,49,DC Comics,Human,33,18,0 kg
bad,25,50,-,-,-,0 cm,509,https://www.superherodb.com/pictures2/portraits/10/100/10806.jpg,9,Parademon,-,53,DC Comics,Parademon,17,28,0 kg
good,5,50,-,Male,-,170 cm,510,https://www.superherodb.com/pictures2/portraits/10/100/10479.jpg,8,Paul Blart,-,7,Sony Pictures,Human,21,11,117 kg
good,null,null,-,-,-,0 cm,511,https://www.superherodb.com/pictures2/portraits/10/100/929.jpg,null,Penance,-,null,Marvel Comics,null,null,null,0 kg
good,null,null,-,Female,-,0 cm,512,https://www.superherodb.com/pictures2/portraits/10/100/930.jpg,null,Penance I,-,null,Marvel Comics,null,null,null,0 kg
good,null,null,Blue,Male,Blond,183 cm,513,https://www.superherodb.com/pictures2/portraits/10/100/900.jpg,null,Penance II,"Government operative; former adventurer, reality TV star, student, television show intern, engineering intern, lab worker",null,Speedball,null,null,20,89 kg
bad,45,28,Blue,Male,Black,157 cm,514,https://www.superherodb.com/pictures2/portraits/10/100/753.jpg,75,Penguin,Trader,30,DC Comics,Human,12,10,79 kg
good,null,null,-,Male,-,0 cm,515,https://www.superherodb.com/pictures2/portraits/10/100/889.jpg,null,Phantom,-,null,DC Comics,null,null,48,0 kg
good,42,28,Blue,Female,Black,168 cm,516,https://www.superherodb.com/pictures2/portraits/10/100/1184.jpg,38,Phantom Girl,-,53,DC Comics,null,23,10,54 kg
good,80,100,Green,Female,Red,168 cm,517,https://www.superherodb.com/pictures2/portraits/10/100/828.jpg,100,Phoenix,Adventurer,100,Jean Grey,Mutant,83,100,52 kg
bad,25,55,Green,Male,Grey,183 cm,518,https://www.superherodb.com/pictures2/portraits/10/100/10487.jpg,63,Plantman,"Professional Criminal, formerly Gardner",61,Marvel Comics,Mutant,25,60,87 kg
good,null,null,-,Male,-,0 cm,519,https://www.superherodb.com/pictures2/portraits/10/100/1299.jpg,null,Plastic Lad,-,null,DC Comics,null,null,null,0 kg
good,56,100,Blue,Male,Black,185 cm,520,https://www.superherodb.com/pictures2/portraits/10/100/756.jpg,50,Plastic Man,Government Agent,100,DC Comics,Human,23,63,80 kg
bad,42,28,Blue,Female,Red,168 cm,521,https://www.superherodb.com/pictures2/portraits/10/100/1176.jpg,50,Plastique,"Government Agent, former Terrorist, Mercenary",60,DC Comics,null,23,10,55 kg
bad,40,40,Green,Female,Red,168 cm,522,https://www.superherodb.com/pictures2/portraits/10/100/757.jpg,81,Poison Ivy,"Criminal, Botanist",100,DC Comics,Human,21,14,50 kg
good,45,50,Green,Female,Green,170 cm,523,https://www.superherodb.com/pictures2/portraits/10/100/1046.jpg,63,Polaris,"Adventurer, former U.S. government operative, former graduate student in geophysics",100,Marvel Comics,Mutant,42,73,52 kg
good,75,100,blue,Female,blond,180 cm,524,https://www.superherodb.com/pictures2/portraits/10/100/758.jpg,94,Power Girl,-,100,DC Comics,Kryptonian,100,100,81 kg
good,null,null,-,Male,-,0 cm,525,https://www.superherodb.com/pictures2/portraits/10/100/1016.jpg,null,Power Man,-,null,Luke Cage,Mutant,null,82,0 kg
bad,90,85,-,Male,-,213 cm,526,https://www.superherodb.com/pictures2/portraits/10/100/10448.jpg,63,Predator,-,100,Dark Horse Comics,Yautja,25,30,234 kg
good,32,14,Blue,Male,No Hair,183 cm,527,https://www.superherodb.com/pictures2/portraits/10/100/113.jpg,100,Professor X,"Mutant leader, mutant rights activist, geneticist, teacher, adventurer, heir, formerly headmaster, soldier (US Army)",100,Marvel Comics,Mutant,12,8,86 kg
bad,20,20,Blue,Male,Strawberry Blond,180 cm,528,https://www.superherodb.com/pictures2/portraits/10/100/766.jpg,94,Professor Zoom,-,83,DC Comics,Human,100,10,81 kg
good,90,40,Blue,Female,Purple,180 cm,529,https://www.superherodb.com/pictures2/portraits/10/100/114.jpg,63,Psylocke,"Adventurer, formerly a STRIKE operative, fashion model",100,Marvel Comics,Mutant,25,33,70 kg
good,100,45,Blue,Male,Black,183 cm,530,https://www.superherodb.com/pictures2/portraits/10/100/112.jpg,69,Punisher,Former United States Marine turned professional vigilante,42,Marvel Comics,Human,21,16,90 kg
bad,10,30,Purple,Male,Purple,180 cm,531,https://www.superherodb.com/pictures2/portraits/10/100/10451.jpg,56,Purple Man,"Professional criminal, Megalomaniac, Former spy",92,Marvel Comics,Human,8,10,74 kg
bad,28,14,Blue,Male,Blond,178 cm,532,https://www.superherodb.com/pictures2/portraits/10/100/853.jpg,38,Pyro,"Former government agent, terrorist, bodyguard, novelist, journalist",54,Marvel Comics,null,12,10,68 kg
-,40,100,-,Male,-,0 cm,533,https://www.superherodb.com/pictures2/portraits/10/100/10578.jpg,100,Q,-,100,Star Trek,God / Eternal,17,12,0 kg
good,null,null,-,Male,-,0 cm,534,https://www.superherodb.com/pictures2/portraits/10/100/1157.jpg,null,Quantum,-,null,HarperCollins,null,null,null,0 kg
good,80,35,Blue,Male,Blond,188 cm,535,https://www.superherodb.com/pictures2/portraits/10/100/760.jpg,81,Question,Former Television Investigative Journalist,20,DC Comics,Human,27,14,83 kg
good,56,60,Blue,Male,Silver,183 cm,536,https://www.superherodb.com/pictures2/portraits/10/100/115.jpg,63,Quicksilver,"(current) Adventurer, (former) Terrorist, officer of the Inhumans militia, United States government operative",81,Marvel Comics,Mutant,100,28,79 kg
good,14,14,Brown,Male,Brown,163 cm,537,https://www.superherodb.com/pictures2/portraits/10/100/830.jpg,38,Quill,-,23,Marvel Comics,null,12,10,56 kg
bad,100,42,Green,Male,Grey,193 cm,538,https://www.superherodb.com/pictures2/portraits/10/100/761.jpg,100,Ra's Al Ghul,"Eco Terrorist, Businessman, Cult Leader",27,DC Comics,Human,32,28,97 kg
good,10,10,-,Female,-,0 cm,539,https://www.superherodb.com/pictures2/portraits/10/100/1530.jpg,63,Rachel Pirzad,-,52,SyFy,Alpha,8,4,0 kg
good,100,30,Brown,Male,Black,178 cm,540,https://www.superherodb.com/pictures2/portraits/10/100/10475.jpg,63,Rambo,United States Army soldier (former),30,null,Human,25,14,83 kg
good,80,65,-,Male,No Hair,0 cm,541,https://www.superherodb.com/pictures2/portraits/10/100/10328.jpg,63,Raphael,-,59,IDW Publishing,Mutant,50,17,0 kg
neutral,40,70,Indigo,Female,Black,165 cm,542,https://www.superherodb.com/pictures2/portraits/10/100/764.jpg,50,Raven,"Adventurer, high school student",84,DC Comics,Human,29,10,50 kg
good,20,100,Green,Male,Red,178 cm,543,https://www.superherodb.com/pictures2/portraits/10/100/10204.jpg,50,Ray,Freelance Computer Programmer and Software Designer,100,DC Comics,Human,92,10,70 kg
bad,null,null,Blue,Male,No Hair,191 cm,544,https://www.superherodb.com/pictures2/portraits/10/100/935.jpg,null,Razor-Fist II,"Mercenary, assassin, bodyguard, enforcer",null,Marvel Comics,null,null,null,117 kg
good,80,20,Green,Male,Red,180 cm,545,https://www.superherodb.com/pictures2/portraits/10/100/1013.jpg,63,Red Arrow,Adventurer; intelligence agent; musician,23,DC Comics,Human,25,16,83 kg
neutral,95,28,Blue,Male,Black,183 cm,546,https://www.superherodb.com/pictures2/portraits/10/100/932.jpg,75,Red Hood,"Mercenary, Vigilante",35,Robin II,Human,23,12,81 kg
neutral,75,85,Yellow,Male,Black,213 cm,547,https://www.superherodb.com/pictures2/portraits/10/100/1342.jpg,50,Red Hulk,Lieutenant general in US Air Force,82,Marvel Comics,Human / Radiation,47,100,630 kg
bad,56,14,-,Male,-,0 cm,548,https://www.superherodb.com/pictures2/portraits/10/100/1337.jpg,25,Red Mist,-,20,Icon Comics,null,23,10,0 kg
good,80,32,Blue,Male,Black,165 cm,549,https://www.superherodb.com/pictures2/portraits/10/100/10009.jpg,81,Red Robin,-,29,Robin III,Human,27,11,56 kg
bad,80,14,Blue,Male,No Hair,188 cm,550,https://www.superherodb.com/pictures2/portraits/10/100/1392.jpg,75,Red Skull,-,19,Marvel Comics,null,12,10,108 kg
good,40,60,Green,Male,No Hair,185 cm,551,https://www.superherodb.com/pictures2/portraits/10/100/1149.jpg,75,Red Tornado,-,100,DC Comics,Android,67,38,146 kg
bad,null,null,-,Male,-,0 cm,552,https://www.superherodb.com/pictures2/portraits/10/100/1081.jpg,null,Redeemer II,-,null,Image Comics,null,null,null,0 kg
bad,null,null,-,Male,-,0 cm,553,https://www.superherodb.com/pictures2/portraits/10/100/1092.jpg,null,Redeemer III,-,null,Image Comics,null,null,null,0 kg
good,null,null,-,Female,-,0 cm,554,https://www.superherodb.com/pictures2/portraits/10/100/1151.jpg,null,Renata Soliz,-,null,HarperCollins,null,null,null,0 kg
good,35,10,Hazel,Female,Brown,297 cm,555,https://www.superherodb.com/pictures2/portraits/10/100/10561.jpg,63,Rey,Scavenger,87,George Lucas,Human,21,8,0 kg
bad,85,90,Brown,Male,Brown,196 cm,556,https://www.superherodb.com/pictures2/portraits/10/100/15.jpg,25,Rhino,"Professional Criminal ,Henchman of the Russian Mafia",36,Marvel Comics,Human / Radiation,43,80,320 kg
bad,95,28,Blue,Male,Brown,185 cm,557,https://www.superherodb.com/pictures2/portraits/10/100/1352.jpg,88,Rick Flag,"Government Agent, Covert Ops field Commander",19,DC Comics,null,23,11,85 kg
bad,14,14,-,Male,-,0 cm,558,https://www.superherodb.com/pictures2/portraits/10/100/768.jpg,100,Riddler,-,10,DC Comics,null,12,10,0 kg
good,25,10,Blue,Male,Blond,0 cm,559,https://www.superherodb.com/pictures2/portraits/10/100/10543.jpg,100,Rip Hunter,-,100,DC Comics,Human,8,8,0 kg
good,null,null,Green,Female,Black,180 cm,560,https://www.superherodb.com/pictures2/portraits/10/100/1291.jpg,null,Ripcord,"Adventurer, formerly prostitute.",null,Marvel Comics,null,null,null,72 kg
good,85,28,Blue,Male,Black,178 cm,561,https://www.superherodb.com/pictures2/portraits/10/100/850.jpg,88,Robin,-,32,Batman II,Human,27,11,79 kg
good,85,28,Blue,Male,Red,183 cm,562,https://www.superherodb.com/pictures2/portraits/10/100/849.jpg,75,Robin II,-,28,Red Hood,Human,27,11,101 kg
good,85,28,Blue,Male,Black,165 cm,563,https://www.superherodb.com/pictures2/portraits/10/100/769.jpg,81,Robin III,High School Student,29,Red Robin,Human,27,11,56 kg
good,65,16,Blue,Male,Black,137 cm,564,https://www.superherodb.com/pictures2/portraits/10/100/1473.jpg,69,Robin V,-,29,DC Comics,Human,33,8,38 kg
neutral,70,20,Green,Female,Red,0 cm,565,https://www.superherodb.com/pictures2/portraits/10/100/10394.jpg,50,Robin VI,-,17,DC Comics,Human,25,8,0 kg
good,64,28,Brown,Male,Brown,122 cm,566,https://www.superherodb.com/pictures2/portraits/10/100/10010.jpg,50,Rocket Raccoon,"Law enforcement officer, security guard, member of the Guardians of the Galaxy",28,Marvel Comics,Animal,23,5,25 kg
good,80,28,Green,Female,Brown / White,173 cm,567,https://www.superherodb.com/pictures2/portraits/10/100/831.jpg,75,Rogue,"Adventurer, former mechanic, waitress, terrorist",80,Marvel Comics,null,12,10,54 kg
good,80,10,Blue,Male,Blond,191 cm,568,https://www.superherodb.com/pictures2/portraits/10/100/1202.jpg,56,Ronin,"Outlaw adventurer, revolutionary; former professional super hero, fugitive, unnoficial S.H.I.E.L.D. operative, federal inmate, CTE security chief, ranch hand, archery tutor, carnival performer, roustabout, butcher shop worker",13,Goliath,Human,21,12,104 kg
good,80,20,Blue,Male,Red,168 cm,569,https://www.superherodb.com/pictures2/portraits/10/100/771.jpg,75,Rorschach,"Vigilante, former garment worker",23,DC Comics,Human,29,10,63 kg
bad,100,90,Amber,Male,Blond,198 cm,570,https://www.superherodb.com/pictures2/portraits/10/100/17.jpg,56,Sabretooth,"mercenary, professional criminal, assassin, serial killer",50,Marvel Comics,Mutant,38,48,171 kg
good,56,14,Blue,Female,Black,170 cm,571,https://www.superherodb.com/pictures2/portraits/10/100/117.jpg,75,Sage,Former Soldier,28,Marvel Comics,null,12,10,61 kg
neutral,60,90,Brown,Male,Brown,185 cm,572,https://www.superherodb.com/pictures2/portraits/10/100/621.jpg,44,Sandman,Professional Criminal,100,Marvel Comics,Human,46,75,203 kg
good,42,56,Red,Male,Orange,305 cm,573,https://www.superherodb.com/pictures2/portraits/10/100/863.jpg,75,Sasquatch,"Adventurer, bio-physicist, government operative; former college lecturer, professional football player",15,Marvel Comics,null,23,80,900 kg
bad,70,100,-,Male,-,279 cm,574,https://www.superherodb.com/pictures2/portraits/10/100/10849.jpg,88,Sauron,-,100,J. R. R. Tolkien,Maiar,33,85,0 kg
good,72,85,-,Male,-,0 cm,575,https://www.superherodb.com/pictures2/portraits/10/100/1117.jpg,63,Savage Dragon,-,66,Image Comics,null,54,70,0 kg
bad,50,14,Blue,Male,Brown,183 cm,576,https://www.superherodb.com/pictures2/portraits/10/100/819.jpg,81,Scarecrow,Special Professional Criminal,48,DC Comics,Human,12,10,63 kg
good,56,74,Blue,Male,Blond,178 cm,577,https://www.superherodb.com/pictures2/portraits/10/100/174.jpg,75,Scarlet Spider,Crime-fighter,46,Spider-Carnage,Human,60,53,74 kg
good,56,40,Brown,Male,Brown,193 cm,578,https://www.superherodb.com/pictures2/portraits/10/100/1536.jpg,88,Scarlet Spider II,Fugitive,37,Marvel Comics,Clone,60,55,113 kg
bad,80,70,Blue,Female,Brown,170 cm,579,https://www.superherodb.com/pictures2/portraits/10/100/444.jpg,100,Scarlet Witch,"Adventurer; formerly witchcraft tutor, housewife, terrorist",100,Marvel Comics,Mutant,29,10,59 kg
bad,28,28,Green,Female,Red,0 cm,580,https://www.superherodb.com/pictures2/portraits/10/100/1123.jpg,38,Scorpia,Professional criminal,34,Marvel Comics,null,42,28,0 kg
bad,80,85,Brown,Male,Brown,211 cm,581,https://www.superherodb.com/pictures2/portraits/10/100/1041.jpg,50,Scorpion,"U.S. government agent; former professional criminal, assassin, private detective",49,Venom III,Human,60,52,310 kg
bad,56,95,-,Male,-,0 cm,582,https://www.superherodb.com/pictures2/portraits/10/100/1482.jpg,63,Sebastian Shaw,-,36,Marvel Comics,Mutant,12,85,0 kg
neutral,40,84,Blue,Male,Blond,188 cm,583,https://www.superherodb.com/pictures2/portraits/10/100/447.jpg,75,Sentry,-,100,Marvel Comics,Mutant,100,100,87 kg
